Numero,Ubicación,Nombre,Disponibilidad,precio de Venta,Precio de Alquiler,Recamaras,Baños,Dimensión,Tipo de vivienda,vivienda nueva / de segunda
1,"Ave Balboa, Bella Vista",RIVAGE,ALQUILER,"$2,000.00",,2,2,177,APARTAMENTOS,
2,"Ave Balboa, Bella Vista",WATERS ON THE BAY,ALQUILER,"$1,700.00",,2,2,123,APARTAMENTOS,
3,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$2,300.00",,2,2,181,APARTAMENTOS,
4,"Ave Balboa,Calidonia",WHITE,VENTA,"$250,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
5,"Balboa,Ancon",YACHT CLUB,ALQUILER,"$2,600.00",,3,3,179,APARTAMENTOS,
6,"Ave Balboa,Calidonia",H2O,VENTA,"$589,000.00",,3,3,405,APARTAMENTOS,NUEVO
7,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$1,400.00",,1,1,94,APARTAMENTOS,
8,"Ave Balboa,Calidonia",WHITE,VENTA,"$338,000.00",,3,3,169,APARTAMENTOS,DE SEGUNDA
9,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$1,600.00",,1,1,94,APARTAMENTOS,
10,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$2,300.00",,2,2,167,APARTAMENTOS,
11,"Ave Balboa, Bella Vista",RIVAGE,VENTA,"$390,000.00",,2,2,177,APARTAMENTOS,DE SEGUNDA
12,"Ave Balboa, Bella Vista",WATERS ON THE BAY,VENTALQUILER,"$370,000.00",,2,2,122,APARTAMENTOS,DE SEGUNDA
13,"Ave Balboa,Calidonia",PRINCESA DEL MAR,RENTANDO,"$650,000.00",,3,3,330,APARTAMENTOS,
14,"Ave Balboa,Calidonia",BAYFRONT,VENTA,"$215,000.00",,1,1,100,APARTAMENTOS,DE SEGUNDA
15,"Ave Balboa,Calidonia",LA ENSENADA,VENTALQUILER,"$360,000.00",,3,3,194,APARTAMENTOS,DE SEGUNDA
16,"Ave Balboa, Bella Vista",RIVAGE,VENTALQUILER,"$550,000.00",,2,2,169,APARTAMENTOS,DE SEGUNDA
17,"Ave Balboa, Bella Vista",MIRAMAR TORRE 2,VENTA,"$1,500,000.00",,3,3,750,APARTAMENTOS,NUEVO
18,"Ave Balboa,Calidonia",MIRAMAR PLAZA,VENTA,"$1,500,000.00",,3,4,600,APARTAMENTOS,NUEVO
19,"Ave Balboa, Bella Vista",RIVAGE,VENTA,"$950,000.00",,3,3,347,APARTAMENTOS,NUEVO
20,"Ave Balboa, Bella Vista",ARTS & YOO,VENTA,"$1,080,000.00",,3,3,316,APARTAMENTOS,NUEVO
21,"Ave Balboa,Calidonia",SKY,ALQUILER,"$1,650.00",,2,2,129,APARTAMENTOS,
22,"Ave Balboa, Bella Vista",MIRAMAR TORRE 2,ALQUILER,"$3,500.00",,3,3,375,APARTAMENTOS,
23,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$2,300.00",,1,1,125,APARTAMENTOS,
24,"Ave Balboa,Calidonia",ELEMENT,RENTANDO,"$270,000.00",,2,2,105,APARTAMENTOS,
25,"Ave Balboa, Bella Vista",MIRAMAR TORRE 2,VENTA,"$800,000.00",,3,3,375,APARTAMENTOS,NUEVO
26,"Ave Balboa, Bella Vista",YOO,ALQUILER,"$2,100.00",,1,2,133,APARTAMENTOS,
27,"Ave Balboa, Bella Vista",MIRAMAR TORRE 2,VENTA,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
28,"Ave Balboa, Bella Vista",WATERS ON THE BAY,VENTALQUILER,"$390,000.00",,2,2,123,APARTAMENTOS,DE SEGUNDA
29,"Ave Balboa, Bella Vista",RIVAGE,RENTANDO,"$360,000.00",,1,1,150,APARTAMENTOS,
30,"Ave Balboa,Calidonia",WHITE,RENTANDO,"$330,000.00",,2,2,137,APARTAMENTOS,
31,"Ave Balboa, Bella Vista",YOO,VENTALQUILER,"$650,000.00",,2,2,180,APARTAMENTOS,NUEVO
32,"Ave Balboa,Calidonia",BAYFRONT TOWER,VENTA,"$220,000.00",,1,1,87,APARTAMENTOS,DE SEGUNDA
33,"Ave Balboa, Bella Vista",YOO,VENTA,"$295,000.00",,1,1,94,APARTAMENTOS,DE SEGUNDA
34,"Ave Balboa, Bella Vista",VISTA DEL MAR,RENTANDO,"$250,000.00",,1,1,113,APARTAMENTOS,
35,"Ave Balboa, Bella Vista",YOO,VENTA,"$550,000.00",,2,2,176,APARTAMENTOS,DE SEGUNDA
36,"Balboa,Ancon",YACHT CLUB,VENTA,"$420,000.00",,2,2,152,APARTAMENTOS,NUEVO
37,"Ave Balboa, Bella Vista",CONDESA DEL MAR,ALQUILER,"$3,900.00",,3,3,422,APARTAMENTOS,
38,"Balboa,Ancon",YACHT CLUB,VENTALQUILER,"$500,000.00",,3,2,179,APARTAMENTOS,NUEVO
39,"Ave Balboa, Bella Vista",RIVAGE,VENTA,"$360,000.00",,1,2,150,APARTAMENTOS,DE SEGUNDA
40,"Ave Balboa,Calidonia",WATERS ON THE BAY,VENTA,"$690,000.00",,3,3,269,APARTAMENTOS,DE SEGUNDA
41,"Ave Balboa,Calidonia",WHITE,VENTALQUILER,"$280,000.00",,1,1,121,APARTAMENTOS,DE SEGUNDA
42,"Ave Balboa, Bella Vista",MIRAMAR TORRE 2,VENTALQUILER,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
43,"Ave Balboa,Calidonia",WHITE,VENTA,"$280,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
44,"Ave Balboa, Bella Vista",ARTS & YOO,ALQUILER,"$2,500.00",,1,1,125,APARTAMENTOS,
45,"Ave Balboa, Bella Vista",GRAND BAY TOWER,ALQUILER,"$1,550.00",,1,2,103,APARTAMENTOS,
46,"Punta Pacifica, San Francisco",Apartamento JW Marriott,VENTA,"$395,000.00",,1,1,130,APARTAMENTOS,DE SEGUNDA
47,"Punta Pacifica, San Francisco",OCEANAIRE,VENTA,"$218,000.00",,1,1,95,APARTAMENTOS,DE SEGUNDA
48,"Punta Pacifica, San Francisco",PH Oasis on the Bay,VENTA,"$225,000.00",,2,1,199,APARTAMENTOS,DE SEGUNDA
49,"Punta Pacifica, San Francisco",ROYAL PACIFIC,VENTA,"$260,000.00",,3,2,144,APARTAMENTOS,DE SEGUNDA
50,"Punta Pacifica, San Francisco",Aquamare 29-B,VENTA,"$850,000.00",,3,3,356,APARTAMENTOS,NUEVO
51,"Punta Pacifica, San Francisco",COURTYARD VIEW,VENTA,"$225,000.00",,2,2,160,APARTAMENTOS,DE SEGUNDA
52,"Punta Pacifica, San Francisco",AQUALINA,VENTA,"$749,000.00",,3,3,381,APARTAMENTOS,NUEVO
53,"Punta Pacifica, San Francisco",DUPONT TOWER,VENTA,"$420,000.00",,2,2,250,APARTAMENTOS,NUEVO
54,"Punta Pacifica, San Francisco",MYSTIC POINT,VENTALQUILER,"$450,000.00",,3,3,217,APARTAMENTOS,NUEVO
55,"Punta Pacifica, San Francisco",MYSTIC POINT T100,VENTALQUILER,"$315,000.00",,3,3,180,APARTAMENTOS,DE SEGUNDA
56,"Punta Pacifica, San Francisco",GRAND TOWER,ALQUILER,"$2,100.00",,2,2,159,APARTAMENTOS,
57,"Punta Pacifica, San Francisco",Punta Roca,VENTA,"$1,000,000.00",,4,4,526,APARTAMENTOS,NUEVO
58,"Punta Pacifica, San Francisco",COSTA PACIFICA T100,VENTA,"$290,000.00",,2,2,242,APARTAMENTOS,DE SEGUNDA
59,"Punta Pacifica, San Francisco",OASIS ON THE BAY,ALQUILER,"$1,400.00",,3,2,240,APARTAMENTOS,
60,"Punta Pacifica, San Francisco",MYSTIC POINT,ALQUILER,"$1,400.00",,3,3,250,APARTAMENTOS,
61,"Punta Pacifica, San Francisco",VIVE EN PUNTA PACIFICA CON VISTA AL MAR,ALQUILER,"$1,650.00",,3,4,170,APARTAMENTOS,
62,"Punta Pacifica, San Francisco",OASIS,VENTA,"$210,000.00",,2,1,99,APARTAMENTOS,DE SEGUNDA
63,"Punta Pacifica, San Francisco",Mystic Point 100,ALQUILER,"$1,500.00",,3,3,165,APARTAMENTOS,
64,"Punta Pacifica, San Francisco",MYSTIC POINT AMOBLADO Y MALLA PARA NIÑOS,ALQUILER,"$1,600.00",,3,4,180,APARTAMENTOS,
65,"Punta Pacifica, San Francisco",AQUALINA,VENTA,"$720,000.00",,4,4,408,APARTAMENTOS,NUEVO
66,"Punta Pacifica, San Francisco",COSTA PACIFICA T100,VENTA,"$249,000.00",,3,2,242,APARTAMENTOS,DE SEGUNDA
67,"Punta Pacifica, San Francisco",PACIFIC VILLAGE TORRE 2,ALQUILER,"$2,500.00",,3,3,263,APARTAMENTOS,
68,"Punta Pacifica, San Francisco",BLUE BAHIA,VENTA,"$895,000.00",,4,5,126,APARTAMENTOS,NUEVO
69,"Punta Pacifica, San Francisco",PH DUPONT TOWER,ALQUILER,"$1,450.00",,1,1,208,APARTAMENTOS,
70,"Punta Pacifica, San Francisco",BLUE BAHIA,VENTALQUILER,"$579,000.00",,3,3,126,APARTAMENTOS,NUEVO
71,"Punta Pacifica, San Francisco",DUPONT TOWER,VENTALQUILER,"$379,000.00",,2,2,126,APARTAMENTOS,DE SEGUNDA
72,"Punta Pacifica, San Francisco",PACIFIC SUN,RENTANDO,"$235,000.00",,2,2,279,APARTAMENTOS,
73,"Punta Pacifica, San Francisco",APARTAMENTO EN ALQUILER (JWMARRIOT),ALQUILER,"$2,500.00",,2,2,155,APARTAMENTOS,
74,"Punta Pacifica, San Francisco",OCEANAIRE,VENTALQUILER,"$290,000.00",,2,2,155,APARTAMENTOS,DE SEGUNDA
