Nombre,Disponibilidad,precio de Venta,Precio de Alquiler,Recamaras,Baños,Dimensión,Tipo de vivienda,vivienda nueva / de segunda
RIVAGE,ALQUILER,"$2,000.00",,2,2,177,APARTAMENTOS,
WATERS ON THE BAY,ALQUILER,"$1,700.00",,2,2,123,APARTAMENTOS,
YOO,ALQUILER,"$2,300.00",,2,2,181,APARTAMENTOS,
WHITE,VENTA,"$250,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
YACHT CLUB,ALQUILER,"$2,600.00",,3,3,179,APARTAMENTOS,
H2O,VENTA,"$589,000.00",,3,3,405,APARTAMENTOS,NUEVO
YOO,ALQUILER,"$1,400.00",,1,1,94,APARTAMENTOS,
WHITE,VENTA,"$338,000.00",,3,3,169,APARTAMENTOS,DE SEGUNDA
YOO,ALQUILER,"$1,600.00",,1,1,94,APARTAMENTOS,
YOO,ALQUILER,"$2,300.00",,2,2,167,APARTAMENTOS,
RIVAGE,VENTA,"$390,000.00",,2,2,177,APARTAMENTOS,DE SEGUNDA
WATERS ON THE BAY,VENTALQUILER,"$370,000.00",,2,2,122,APARTAMENTOS,DE SEGUNDA
PRINCESA DEL MAR,RENTANDO,"$650,000.00",,3,3,330,APARTAMENTOS,
BAYFRONT,VENTA,"$215,000.00",,1,1,100,APARTAMENTOS,DE SEGUNDA
LA ENSENADA,VENTALQUILER,"$360,000.00",,3,3,194,APARTAMENTOS,DE SEGUNDA
RIVAGE,VENTALQUILER,"$550,000.00",,2,2,169,APARTAMENTOS,DE SEGUNDA
MIRAMAR TORRE 2,VENTA,"$1,500,000.00",,3,3,750,APARTAMENTOS,NUEVO
MIRAMAR PLAZA,VENTA,"$1,500,000.00",,3,4,600,APARTAMENTOS,NUEVO
RIVAGE,VENTA,"$950,000.00",,3,3,347,APARTAMENTOS,NUEVO
ARTS & YOO,VENTA,"$1,080,000.00",,3,3,316,APARTAMENTOS,NUEVO
SKY,ALQUILER,"$1,650.00",,2,2,129,APARTAMENTOS,
MIRAMAR TORRE 2,ALQUILER,"$3,500.00",,3,3,375,APARTAMENTOS,
YOO,ALQUILER,"$2,300.00",,1,1,125,APARTAMENTOS,
ELEMENT,RENTANDO,"$270,000.00",,2,2,105,APARTAMENTOS,
MIRAMAR TORRE 2,VENTA,"$800,000.00",,3,3,375,APARTAMENTOS,NUEVO
YOO,ALQUILER,"$2,100.00",,1,2,133,APARTAMENTOS,
MIRAMAR TORRE 2,VENTA,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
WATERS ON THE BAY,VENTALQUILER,"$390,000.00",,2,2,,APARTAMENTOS,DE SEGUNDA
RIVAGE,RENTANDO,"$360,000.00",,1,1,150,APARTAMENTOS,
WHITE,RENTANDO,"$330,000.00",,2,2,137,APARTAMENTOS,
YOO,VENTALQUILER,"$650,000.00",,2,2,180,APARTAMENTOS,NUEVO
BAYFRONT TOWER,VENTA,"$220,000.00",,1,1,87,APARTAMENTOS,DE SEGUNDA
YOO,VENTA,"$295,000.00",,1,1,94,APARTAMENTOS,DE SEGUNDA
VISTA DEL MAR,RENTANDO,"$250,000.00",,1,1,113,APARTAMENTOS,
YOO,VENTA,"$550,000.00",,2,2,176,APARTAMENTOS,DE SEGUNDA
YACHT CLUB,VENTA,"$420,000.00",,2,2,152,APARTAMENTOS,NUEVO
CONDESA DEL MAR,ALQUILER,"$3,900.00",,3,3,422,APARTAMENTOS,
YACHT CLUB,VENTALQUILER,"$500,000.00",,3,2,179,APARTAMENTOS,NUEVO
RIVAGE,VENTA,"$360,000.00",,1,2,150,APARTAMENTOS,DE SEGUNDA
WATERS ON THE BAY,VENTA,"$690,000.00",,3,3,269,APARTAMENTOS,DE SEGUNDA
WHITE,VENTALQUILER,"$280,000.00",,1,1,121,APARTAMENTOS,DE SEGUNDA
MIRAMAR TORRE 2,VENTALQUILER,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
WHITE,VENTA,"$280,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
ARTS & YOO,ALQUILER,"$2,500.00",,1,1,125,APARTAMENTOS,
GRAND BAY TOWER,ALQUILER,"$1,550.00",,1,2,103,APARTAMENTOS,
Apartamento JW Marriott,VENTA,"$395,000.00",,1,1,,APARTAMENTOS,DE SEGUNDA
OCEANAIRE,VENTA,"$218,000.00",,1,1,,APARTAMENTOS,DE SEGUNDA
PH Oasis on the Bay,VENTA,"$225,000.00",,2,1,,APARTAMENTOS,DE SEGUNDA
ROYAL PACIFIC,VENTA,"$260,000.00",,3,2,,APARTAMENTOS,DE SEGUNDA
Aquamare 29-B,VENTA,"$850,000.00",,3,3,,APARTAMENTOS,NUEVO
COURTYARD VIEW,VENTA,"$225,000.00",,2,2,,APARTAMENTOS,DE SEGUNDA
AQUALINA,VENTA,"$749,000.00",,3,3,,APARTAMENTOS,NUEVO
DUPONT TOWER,VENTA,"$420,000.00",,2,2,,APARTAMENTOS,NUEVO
MYSTIC POINT,VENTALQUILER,"$450,000.00",,3,3,,APARTAMENTOS,NUEVO
MYSTIC POINT T100,VENTALQUILER,"$315,000.00",,3,3,,APARTAMENTOS,DE SEGUNDA
GRAND TOWER,ALQUILER,"$2,100.00",,2,2,,APARTAMENTOS,
Punta Roca,VENTA,"$1,000,000.00",,4,4,,APARTAMENTOS,NUEVO
