Numero,Ubicación,Nombre,Disponibilidad,precio de Venta,Precio de Alquiler,Recamaras,Baños,Dimensión,Tipo de vivienda,vivienda nueva / de segunda
2,Calidonia,WHITE,VENTA,"$250,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
2,Calidonia,H2O,VENTA,"$589,000.00",,3,3,405,APARTAMENTOS,NUEVO
2,Calidonia,WHITE,VENTA,"$338,000.00",,3,3,169,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,RIVAGE,VENTA,"$390,000.00",,2,2,177,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,WATERS ON THE BAY,VENTALQUILER,"$370,000.00",,2,2,122,APARTAMENTOS,DE SEGUNDA
2,Calidonia,PRINCESA DEL MAR,RENTANDO,"$650,000.00",,3,3,330,APARTAMENTOS,
2,Calidonia,BAYFRONT,VENTA,"$215,000.00",,1,1,100,APARTAMENTOS,DE SEGUNDA
2,Calidonia,LA ENSENADA,VENTALQUILER,"$360,000.00",,3,3,194,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,RIVAGE,VENTALQUILER,"$550,000.00",,2,2,169,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,MIRAMAR TORRE 2,VENTA,"$1,500,000.00",,3,3,750,APARTAMENTOS,NUEVO
2,Calidonia,MIRAMAR PLAZA,VENTA,"$1,500,000.00",,3,4,600,APARTAMENTOS,NUEVO
1,Bella Vista,RIVAGE,VENTA,"$950,000.00",,3,3,347,APARTAMENTOS,NUEVO
1,Bella Vista,ARTS & YOO,VENTA,"$1,080,000.00",,3,3,316,APARTAMENTOS,NUEVO
2,Calidonia,ELEMENT,RENTANDO,"$270,000.00",,2,2,105,APARTAMENTOS,
1,Bella Vista,MIRAMAR TORRE 2,VENTA,"$800,000.00",,3,3,375,APARTAMENTOS,NUEVO
1,Bella Vista,MIRAMAR TORRE 2,VENTA,"$900,000.00",,3,3,375,APARTAMENTOS,NUEVO
1,Bella Vista,WATERS ON THE BAY,VENTALQUILER,"$390,000.00",,2,2,123,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,RIVAGE,RENTANDO,"$360,000.00",,1,1,150,APARTAMENTOS,
2,Calidonia,WHITE,RENTANDO,"$330,000.00",,2,2,137,APARTAMENTOS,
1,Bella Vista,YOO,VENTALQUILER,"$650,000.00",,2,2,180,APARTAMENTOS,NUEVO
2,Calidonia,BAYFRONT TOWER,VENTA,"$220,000.00",,1,1,87,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,YOO,VENTA,"$295,000.00",,1,1,94,APARTAMENTOS,DE SEGUNDA
1,Bella Vista,VISTA DEL MAR,RENTANDO,"$250,000.00",,1,1,113,APARTAMENTOS,
1,Bella Vista,YOO,VENTA,"$550,000.00",,2,2,176,APARTAMENTOS,DE SEGUNDA
3,Ancón,YACHT CLUB,VENTA,"$420,000.00",,2,2,152,APARTAMENTOS,NUEVO
3,Ancón,YACHT CLUB,VENTALQUILER,"$500,000.00",,3,2,179,APARTAMENTOS,NUEVO
1,Bella Vista,RIVAGE,VENTA,"$360,000.00",,1,2,150,APARTAMENTOS,DE SEGUNDA
